"Timestamp","Star Wars: The Last Jedi","Get Out","Wonder Woman","Coco","Hidden Figures","The Shape of Water"
"2018/02/03 10:55:29 PM EST","4","4","3","5","3","5"
"2018/02/04 12:05:53 AM EST","5","3","4","3","4","3"
"2018/02/04 8:39:42 AM EST","5","5","5","","",""
"2018/02/06 6:09:06 PM EST","5","5","5","","","5"
"2018/02/07 2:42:40 AM EST","","4","3","","",""
