,city,job_title,company_name,location,summary,salary
540,Washington+DC,Data Scientist,Novetta,"Crystal City, VA","Experience in data modeling, including conceptual, logical, physical, warehouse, and data mart models. Experience with R, Spark, and Tensorflow....",
541,Washington+DC,Data Scientist,Unisys,"Alexandria, VA 22314","Obtain, scrub, explore, model and interpret data currently stored in Oracle databases – using SQL and other data mining tools....",
542,Washington+DC,Computer Engineer / Computer Scientist,"General Technical Services, LLC","Adelphi Laboratory Center, MD","Analyzing technical data; Android development including user interfaces, interaction with available sensors and collection/analysis of continuous and...",
543,Washington+DC,Data Scientist,"Connections Media, LLC.","Washington, DC 20009","We are looking for a talented Data Scientist to augment and scale our data analytics capability. The ideal candidate is comfortable with R statistical software,...",
544,Washington+DC,Junior Data Scientist,Logistics Management Institute,"Tysons, VA","Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics....",
545,Washington+DC,Quantitative Analyst,Arcadia Power,"Washington, DC","Apply data science and analytics to make our products great. We’re building our Data Science & Analytics team to make this happen -- develop better products,...",
546,Washington+DC,Data Scientist,Pragmatics,"Suitland, MD","3 years’ experience programming in Python, C++, R, or Interactive Data Language (IDL). 3 years’ experience integrating data mining, conditioning, and analysis...",
547,Washington+DC,Data Scientist,Lexical Intelligence,"Bethesda, MD","The data scientist shall be able to work well within a team of analysts, data scientists, and software developers....",
548,Washington+DC,Data Scientist,Grant Thornton,"Alexandria, VA 22314 (Southwest Quadrant area)","Experience leading projects in data exploration, survey analysis, and/or data mining (desired). Intermediate skills with R and SQL....",
549,Washington+DC,Data Scientist,Centra Technology,"Arlington, VA","MS or equivalent in Computer Science, Applied Math and Statistics, Computer Engineering, with 2 years of relevant work, or a BS in the same disciplines with 4...",
550,Washington+DC,DATA SME,"RTI, LLC","Washington, DC 20032 (Anacostia area)",• Leverage systems engineering or data engineering background to support architect and scientist is realizing the strategic data management vision • Provide...,
551,Washington+DC,Research Analyst(s),"Innovative Analytics and Training, LLC","Washington, DC 20004 (Downtown area)","Relevant candidates will have excellent skills in critical analysis, research, writing, and briefing. IAT is seeking research analysts to work on our growing...",
552,Washington+DC,Data Scientist - Journeyman,Operational Intelligence LLC,"Washington, DC 20001 (Shaw area)",Advanced knowledge of feature data services and data modelling. Minimum 2 years of experience working with data quality control tools including ArcGIS Data...,
553,Washington+DC,Data Scientist / Data Engineer,OGSystems,"Washington, DC","Must be proficient in establishing data taxonomies, creating and managing data models, data tables, intermediate to advance SQL queries, and developing Pivot...",
554,Washington+DC,Data Scientist,Central Intelligence Agency,"Washington, DC","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments....",
